time,open,high,low,close
2025-10-15 19:04:00+00:00,1.1635,1.16358,1.1635,1.16358
2025-10-15 19:05:00+00:00,1.16359,1.16368,1.16358,1.16364
2025-10-15 19:06:00+00:00,1.16364,1.16366,1.16362,1.16364
2025-10-15 19:07:00+00:00,1.16364,1.16368,1.16358,1.16364
2025-10-15 19:08:00+00:00,1.16364,1.16366,1.1636,1.16364
2025-10-15 19:09:00+00:00,1.16363,1.16369,1.16362,1.16368
2025-10-15 19:10:00+00:00,1.16368,1.1637,1.16363,1.1637
2025-10-15 19:11:00+00:00,1.16369,1.16378,1.16368,1.16378
2025-10-15 19:12:00+00:00,1.16378,1.1638,1.16371,1.16372
2025-10-15 19:13:00+00:00,1.16371,1.16374,1.16369,1.16373
2025-10-15 19:14:00+00:00,1.16374,1.16374,1.16368,1.16368
2025-10-15 19:15:00+00:00,1.16367,1.1637,1.16358,1.16358
2025-10-15 19:16:00+00:00,1.16358,1.1636,1.16354,1.16358
2025-10-15 19:17:00+00:00,1.16358,1.1636,1.16356,1.16358
2025-10-15 19:18:00+00:00,1.16358,1.1636,1.16354,1.16354
2025-10-15 19:19:00+00:00,1.16352,1.16359,1.16352,1.16358
2025-10-15 19:20:00+00:00,1.16358,1.16379,1.16358,1.16377
2025-10-15 19:21:00+00:00,1.16378,1.16378,1.1637,1.16374
2025-10-15 19:22:00+00:00,1.16375,1.16382,1.16374,1.16378
2025-10-15 19:23:00+00:00,1.16379,1.16384,1.16378,1.16384
2025-10-15 19:24:00+00:00,1.16383,1.16384,1.16382,1.16384
2025-10-15 19:25:00+00:00,1.16384,1.16385,1.16376,1.1638
2025-10-15 19:26:00+00:00,1.16379,1.16381,1.16371,1.16371
2025-10-15 19:27:00+00:00,1.1637,1.16375,1.16366,1.16375
2025-10-15 19:28:00+00:00,1.16374,1.16377,1.16371,1.16374
2025-10-15 19:29:00+00:00,1.16374,1.1638,1.16374,1.1638
2025-10-15 19:30:00+00:00,1.16378,1.1638,1.16374,1.16377
2025-10-15 19:31:00+00:00,1.16378,1.16385,1.16377,1.16384
2025-10-15 19:32:00+00:00,1.16385,1.16387,1.16383,1.16384
2025-10-15 19:33:00+00:00,1.16383,1.1639,1.16383,1.16389
2025-10-15 19:34:00+00:00,1.1639,1.1639,1.16388,1.16389
2025-10-15 19:35:00+00:00,1.16389,1.1639,1.16388,1.16389
2025-10-15 19:36:00+00:00,1.16392,1.16399,1.16392,1.16399
2025-10-15 19:37:00+00:00,1.16398,1.16405,1.16392,1.16392
2025-10-15 19:38:00+00:00,1.16394,1.16394,1.16384,1.16384
2025-10-15 19:39:00+00:00,1.16385,1.16394,1.16385,1.16392
2025-10-15 19:40:00+00:00,1.16394,1.16394,1.16382,1.16386
2025-10-15 19:41:00+00:00,1.16388,1.16398,1.16388,1.16397
2025-10-15 19:42:00+00:00,1.16398,1.16399,1.16386,1.16393
2025-10-15 19:43:00+00:00,1.16392,1.16393,1.16386,1.16391
2025-10-15 19:44:00+00:00,1.16392,1.16392,1.16382,1.16386
2025-10-15 19:45:00+00:00,1.16386,1.16391,1.16383,1.1639
2025-10-15 19:46:00+00:00,1.1639,1.16392,1.16386,1.16386
2025-10-15 19:47:00+00:00,1.16387,1.16394,1.16387,1.16394
2025-10-15 19:48:00+00:00,1.16392,1.16396,1.16388,1.16396
2025-10-15 19:49:00+00:00,1.16396,1.16397,1.16392,1.16394
2025-10-15 19:50:00+00:00,1.16393,1.16394,1.16384,1.16394
2025-10-15 19:51:00+00:00,1.16395,1.16395,1.1638,1.16381
2025-10-15 19:52:00+00:00,1.1638,1.16384,1.1638,1.16384
2025-10-15 19:53:00+00:00,1.16385,1.16394,1.16385,1.16386
2025-10-15 19:54:00+00:00,1.16385,1.1639,1.16384,1.16388
2025-10-15 19:55:00+00:00,1.16388,1.16409,1.16387,1.16409
2025-10-15 19:56:00+00:00,1.16408,1.1642,1.16404,1.1642
2025-10-15 19:57:00+00:00,1.1642,1.16434,1.16419,1.16434
2025-10-15 19:58:00+00:00,1.16434,1.16444,1.16434,1.16442
2025-10-15 19:59:00+00:00,1.1644,1.16449,1.16436,1.16445
2025-10-15 20:00:00+00:00,1.16444,1.16448,1.16442,1.16446
2025-10-15 20:01:00+00:00,1.16447,1.16452,1.16446,1.1645
2025-10-15 20:02:00+00:00,1.16451,1.16456,1.16451,1.16456
2025-10-15 20:03:00+00:00,1.16456,1.16466,1.16456,1.16466
2025-10-15 20:04:00+00:00,1.16464,1.16468,1.16464,1.16466
2025-10-15 20:05:00+00:00,1.16468,1.16472,1.16458,1.16464
2025-10-15 20:06:00+00:00,1.16466,1.16468,1.16452,1.16452
2025-10-15 20:07:00+00:00,1.16453,1.16458,1.16447,1.16458
2025-10-15 20:08:00+00:00,1.16458,1.16468,1.16453,1.16468
2025-10-15 20:09:00+00:00,1.16468,1.16478,1.16468,1.16472
2025-10-15 20:10:00+00:00,1.16471,1.16474,1.1647,1.16471
2025-10-15 20:11:00+00:00,1.16472,1.16472,1.16468,1.16468
2025-10-15 20:12:00+00:00,1.16468,1.16469,1.16455,1.16455
2025-10-15 20:13:00+00:00,1.16454,1.16454,1.16448,1.16448
2025-10-15 20:14:00+00:00,1.16448,1.16448,1.16444,1.16444
2025-10-15 20:15:00+00:00,1.16446,1.16452,1.16442,1.16445
2025-10-15 20:16:00+00:00,1.16446,1.16446,1.1644,1.16444
2025-10-15 20:17:00+00:00,1.16442,1.16445,1.16434,1.16434
2025-10-15 20:18:00+00:00,1.16432,1.16437,1.1643,1.16436
2025-10-15 20:19:00+00:00,1.16436,1.16441,1.16433,1.16433
2025-10-15 20:20:00+00:00,1.16435,1.1644,1.16435,1.16438
2025-10-15 20:21:00+00:00,1.16438,1.16444,1.16438,1.16442
2025-10-15 20:22:00+00:00,1.16442,1.16443,1.16439,1.1644
2025-10-15 20:23:00+00:00,1.1644,1.16456,1.16439,1.16454
2025-10-15 20:24:00+00:00,1.16454,1.16468,1.16454,1.16466
2025-10-15 20:25:00+00:00,1.16466,1.16475,1.16464,1.16464
2025-10-15 20:26:00+00:00,1.16464,1.16464,1.1646,1.16463
2025-10-15 20:27:00+00:00,1.16462,1.16463,1.16459,1.16459
2025-10-15 20:28:00+00:00,1.16458,1.1646,1.16457,1.16457
2025-10-15 20:29:00+00:00,1.16458,1.16458,1.16439,1.16439
2025-10-15 20:30:00+00:00,1.1644,1.1646,1.1644,1.16446
2025-10-15 20:31:00+00:00,1.16447,1.16452,1.16444,1.16452
2025-10-15 20:32:00+00:00,1.16453,1.1646,1.16452,1.16458
2025-10-15 20:33:00+00:00,1.16458,1.1646,1.16454,1.1646
2025-10-15 20:34:00+00:00,1.16458,1.16461,1.16457,1.16457
2025-10-15 20:35:00+00:00,1.16456,1.16458,1.16456,1.16458
2025-10-15 20:36:00+00:00,1.16458,1.16458,1.16453,1.16454
2025-10-15 20:37:00+00:00,1.16454,1.16458,1.16454,1.16457
2025-10-15 20:38:00+00:00,1.16455,1.16458,1.16455,1.16456
2025-10-15 20:39:00+00:00,1.16456,1.16468,1.16456,1.16467
2025-10-15 20:40:00+00:00,1.16468,1.16468,1.16452,1.16454
2025-10-15 20:41:00+00:00,1.16452,1.16454,1.1645,1.16454
2025-10-15 20:42:00+00:00,1.16453,1.16458,1.1645,1.16452
2025-10-15 20:43:00+00:00,1.16452,1.16453,1.16447,1.16447
2025-10-15 20:44:00+00:00,1.16446,1.16448,1.16446,1.16448
2025-10-15 20:45:00+00:00,1.16447,1.16452,1.1644,1.16442
2025-10-15 20:46:00+00:00,1.1644,1.16444,1.1644,1.16442
2025-10-15 20:47:00+00:00,1.16442,1.16446,1.16442,1.16442
2025-10-15 20:48:00+00:00,1.16442,1.16442,1.16428,1.16438
2025-10-15 20:49:00+00:00,1.1644,1.16453,1.1644,1.16453
2025-10-15 20:50:00+00:00,1.16453,1.16457,1.1645,1.16452
2025-10-15 20:51:00+00:00,1.16452,1.16456,1.16452,1.16456
2025-10-15 20:52:00+00:00,1.16456,1.16461,1.16453,1.16456
2025-10-15 20:53:00+00:00,1.16457,1.1646,1.1645,1.16451
2025-10-15 20:54:00+00:00,1.16453,1.16465,1.16453,1.16462
2025-10-15 20:55:00+00:00,1.1646,1.16469,1.16458,1.16462
2025-10-15 20:56:00+00:00,1.16464,1.16473,1.16464,1.16471
2025-10-15 20:57:00+00:00,1.1647,1.16474,1.16468,1.16472
2025-10-15 20:58:00+00:00,1.1647,1.16475,1.16468,1.16474
2025-10-15 20:59:00+00:00,1.16472,1.16473,1.16464,1.16466
2025-10-15 21:04:00+00:00,1.16458,1.16458,1.1645,1.16458
2025-10-15 21:05:00+00:00,1.1646,1.1646,1.16454,1.16458
2025-10-15 21:06:00+00:00,1.1646,1.1646,1.16458,1.1646
2025-10-15 21:07:00+00:00,1.1646,1.1646,1.16452,1.16453
2025-10-15 21:08:00+00:00,1.1645,1.16452,1.16441,1.16452
2025-10-15 21:09:00+00:00,1.1645,1.1645,1.16442,1.16442
2025-10-15 21:10:00+00:00,1.16442,1.16452,1.1644,1.16442
2025-10-15 21:11:00+00:00,1.16438,1.16442,1.16436,1.16439
2025-10-15 21:12:00+00:00,1.16436,1.16455,1.16436,1.16455
2025-10-15 21:13:00+00:00,1.16446,1.16448,1.16445,1.16445
2025-10-15 21:14:00+00:00,1.16443,1.16446,1.16434,1.16442
2025-10-15 21:15:00+00:00,1.16441,1.16448,1.16433,1.16447
2025-10-15 21:16:00+00:00,1.16444,1.16449,1.16438,1.16439
2025-10-15 21:17:00+00:00,1.16438,1.16449,1.16434,1.16434
2025-10-15 21:18:00+00:00,1.16435,1.16456,1.16435,1.16456
2025-10-15 21:19:00+00:00,1.16452,1.16458,1.16446,1.16458
2025-10-15 21:20:00+00:00,1.16456,1.16462,1.16454,1.16454
2025-10-15 21:21:00+00:00,1.1646,1.16461,1.16446,1.16447
2025-10-15 21:22:00+00:00,1.16446,1.1645,1.16444,1.16446
2025-10-15 21:23:00+00:00,1.16446,1.16449,1.16444,1.16444
2025-10-15 21:24:00+00:00,1.16444,1.16447,1.16442,1.16442
2025-10-15 21:25:00+00:00,1.16442,1.16451,1.16442,1.16446
2025-10-15 21:26:00+00:00,1.16445,1.1645,1.16444,1.16448
2025-10-15 21:27:00+00:00,1.16444,1.1645,1.16444,1.1645
2025-10-15 21:28:00+00:00,1.16449,1.1645,1.16442,1.16443
2025-10-15 21:29:00+00:00,1.16444,1.16449,1.16442,1.16444
2025-10-15 21:30:00+00:00,1.16444,1.16447,1.16442,1.16444
2025-10-15 21:31:00+00:00,1.16443,1.16445,1.16443,1.16444
2025-10-15 21:32:00+00:00,1.16445,1.16445,1.16444,1.16445
2025-10-15 21:33:00+00:00,1.16444,1.16446,1.16442,1.16442
2025-10-15 21:34:00+00:00,1.16444,1.16444,1.16442,1.16444
2025-10-15 21:35:00+00:00,1.16444,1.16444,1.16442,1.16442
2025-10-15 21:36:00+00:00,1.16443,1.16443,1.16442,1.16442
2025-10-15 21:37:00+00:00,1.16441,1.16442,1.16441,1.16442
2025-10-15 21:38:00+00:00,1.16441,1.16442,1.16441,1.16442
2025-10-15 21:39:00+00:00,1.16444,1.16456,1.16443,1.16454
